transaction_id,timestamp,amount,transaction_hour,transaction_day,customer_age,customer_transaction_count_24h,customer_avg_amount,amount_deviation,is_new_device,is_new_location,distance_from_usual_location,failed_attempts_24h,transactions_last_10min,payment_method,merchant_category,customer_account_age_days,previous_chargebacks,ip_risk_score,device_risk_score,velocity_score,fraud_label
TXN100014,2026-08-16 16:40:01,4613.17,16,6,18,4,4584.93,1.01,0,0,0.8,0,0,CREDIT_CARD,travel,295,1,0.24,0.104,0.12,1
TXN100015,2026-08-29 21:21:47,2334.07,21,5,28,6,1360.5,1.72,0,0,3.4,0,1,NET_BANKING,utilities,358,0,0.244,0.246,0.38,0
TXN100016,2026-08-05 18:44:56,1007.58,18,2,47,2,1455.59,0.69,1,1,168.4,0,0,DEBIT_CARD,grocery,708,0,0.233,0.325,0.06,0
TXN100017,2026-08-28 07:14:00,1694.2,7,4,26,10,2197.22,0.77,0,0,1.0,0,5,UPI,ecommerce,27,0,0.15,0.151,1.0,0
TXN100018,2026-08-08 23:33:53,6871.37,23,5,32,1,2739.35,2.51,1,0,3.4,1,0,WALLET,ecommerce,315,0,0.2,0.147,0.03,0
TXN100019,2026-08-24 06:47:15,1958.85,6,0,46,1,2093.67,0.94,0,0,2.3,0,0,WALLET,luxury,14,0,0.238,0.174,0.03,0
TXN100020,2026-08-06 19:30:12,3505.36,19,3,57,7,4645.03,0.75,1,0,7.1,0,3,UPI,utilities,9,0,0.364,0.245,0.81,0
TXN100021,2026-08-12 07:34:07,7574.06,7,2,48,3,6204.91,1.22,0,0,6.2,1,0,UPI,grocery,134,0,0.102,0.253,0.09,0
TXN100022,2026-08-15 21:41:23,2727.93,21,5,53,4,1224.92,2.23,0,0,11.4,0,2,WALLET,travel,217,0,0.032,0.302,0.52,0
TXN100023,2026-08-19 16:11:53,1658.95,16,2,24,2,2706.03,0.61,0,0,5.5,0,0,DEBIT_CARD,gaming,65,0,0.077,0.121,0.06,0
TXN100024,2026-08-16 12:33:49,1975.07,12,6,21,2,3572.86,0.55,1,0,6.4,0,0,UPI,ecommerce,187,0,0.147,0.338,0.06,0
TXN100025,2026-08-21 13:39:45,2204.56,13,4,54,7,2782.56,0.79,0,0,6.8,0,5,UPI,ecommerce,170,0,0.13,0.083,1.0,0
TXN100026,2026-09-03 12:57:52,3039.39,12,3,38,2,2250.4,1.35,1,0,6.9,0,1,UPI,travel,90,0,0.126,0.129,0.26,0
TXN100027,2026-08-09 11:43:28,1762.66,11,6,18,4,1117.03,1.58,0,0,7.1,0,0,DEBIT_CARD,utilities,20,0,0.192,0.249,0.12,0
TXN100028,2026-08-29 21:26:23,8088.5,21,5,39,3,9512.11,0.85,0,0,4.5,0,0,UPI,travel,134,0,0.471,0.283,0.09,0
TXN100029,2026-08-10 00:09:06,2101.94,0,0,63,2,3513.15,0.6,0,0,9.1,1,0,UPI,electronics,113,0,0.146,0.287,0.06,0
TXN100030,2026-08-10 21:41:46,5224.28,21,0,38,6,3527.88,1.48,0,0,6.1,0,0,CREDIT_CARD,gaming,154,0,0.234,0.152,0.18,0
TXN100031,2026-08-07 02:22:27,298.09,2,4,49,2,804.58,0.37,0,1,91.5,0,0,UPI,ecommerce,123,0,0.3,0.051,0.06,0
TXN100032,2026-08-08 00:23:51,2069.29,0,5,36,2,2052.07,1.01,0,1,56.3,0,0,DEBIT_CARD,travel,272,0,0.111,0.018,0.06,0
TXN100033,2026-08-06 05:13:26,8196.6,5,3,26,2,3822.05,2.14,0,0,2.8,0,0,CREDIT_CARD,ecommerce,51,0,0.381,0.527,0.06,0
TXN100034,2026-08-05 20:18:26,5421.44,20,2,18,3,7418.63,0.73,0,0,7.1,0,0,NET_BANKING,grocery,670,0,0.246,0.083,0.09,0
TXN100035,2026-08-30 12:05:44,685.21,12,6,44,4,644.99,1.06,0,0,11.0,0,0,UPI,ecommerce,1249,0,0.149,0.029,0.12,0
TXN100036,2026-08-27 14:19:48,395.95,14,3,38,4,988.01,0.4,0,0,3.6,0,0,UPI,gaming,85,0,0.165,0.298,0.12,0
TXN100037,2026-08-18 12:01:17,3712.08,12,1,31,3,2696.72,1.38,0,0,7.1,0,0,UPI,travel,85,0,0.24,0.092,0.09,0
TXN100038,2026-09-02 18:40:07,1052.0,18,2,45,4,2012.39,0.52,1,1,534.7,0,1,CREDIT_CARD,ecommerce,11,0,0.435,0.32,0.32,1
TXN100039,2026-08-24 05:35:15,872.83,5,0,18,5,614.27,1.42,0,0,0.3,1,0,CREDIT_CARD,gaming,652,0,0.051,0.18,0.15,0
TXN100040,2026-08-06 17:15:10,1242.24,17,3,18,12,688.2,1.81,1,0,7.4,0,8,UPI,ecommerce,342,0,0.182,0.234,1.0,1
TXN100041,2026-08-29 22:20:44,856.53,22,5,29,4,2126.72,0.4,0,0,1.1,1,0,CREDIT_CARD,travel,77,0,0.035,0.077,0.12,0
TXN100042,2026-08-30 23:48:53,671.93,23,6,18,9,901.28,0.75,0,0,3.2,1,1,UPI,utilities,270,0,0.338,0.168,0.47,0
TXN100043,2026-08-05 15:32:37,2166.22,15,2,31,2,2106.7,1.03,0,0,7.6,0,1,CREDIT_CARD,luxury,102,0,0.242,0.109,0.26,0
TXN100044,2026-08-22 22:06:31,666.28,22,5,50,5,534.56,1.25,0,0,3.9,0,1,CREDIT_CARD,ecommerce,15,0,0.072,0.385,0.35,0
TXN100045,2026-08-24 14:41:04,3275.97,14,0,22,3,3708.23,0.88,0,0,0.4,0,0,NET_BANKING,grocery,153,0,0.194,0.31,0.09,0
TXN100046,2026-08-26 00:33:10,1516.24,0,2,19,0,1404.06,1.08,0,0,3.7,0,0,UPI,travel,203,0,0.069,0.316,0.0,0
TXN100047,2026-08-09 17:32:33,10189.73,17,6,35,1,6019.25,1.69,0,0,3.9,0,0,UPI,electronics,208,0,0.374,0.296,0.03,0
TXN100048,2026-08-21 16:40:45,1749.54,16,4,44,5,2476.96,0.71,0,0,10.7,0,1,UPI,ecommerce,376,0,0.439,0.041,0.35,0
TXN100049,2026-09-04 08:18:22,1028.95,8,4,34,4,733.43,1.4,0,0,0.4,0,0,UPI,luxury,1105,0,0.143,0.331,0.12,0
TXN100050,2026-08-23 05:26:17,6939.94,5,6,53,4,5453.83,1.27,1,0,2.9,3,0,CREDIT_CARD,electronics,397,0,0.08,0.11,0.12,0
TXN100051,2026-08-19 01:40:27,394.01,1,2,27,1,338.28,1.16,0,0,3.0,0,0,UPI,grocery,81,0,0.357,0.116,0.03,0
TXN100052,2026-08-21 09:23:16,828.17,9,4,34,5,790.0,1.05,0,0,11.8,3,0,CREDIT_CARD,ecommerce,815,0,0.017,0.24,0.15,0
TXN100053,2026-08-10 18:29:37,5868.37,18,0,28,5,1763.91,3.33,0,0,6.8,0,2,UPI,gaming,354,0,0.34,0.224,0.55,0
TXN100054,2026-08-29 16:35:42,2747.06,16,5,44,3,3005.86,0.91,0,0,3.9,0,0,UPI,ecommerce,172,0,0.131,0.391,0.09,0
TXN100055,2026-08-15 16:38:39,1923.43,16,5,49,1,5746.28,0.33,0,0,9.2,0,0,UPI,ecommerce,144,0,0.121,0.121,0.03,0
TXN100056,2026-08-14 00:03:15,1914.16,0,4,47,2,1103.28,1.73,0,0,5.0,0,0,DEBIT_CARD,ecommerce,233,0,0.028,0.239,0.06,0
TXN100057,2026-08-30 00:45:42,692.75,0,6,30,2,1031.13,0.67,0,0,10.1,1,0,DEBIT_CARD,electronics,647,0,0.265,0.309,0.06,0
TXN100058,2026-08-06 03:57:56,4742.04,3,3,50,5,6625.74,0.72,0,0,11.9,0,0,UPI,grocery,238,0,0.061,0.121,0.15,0
TXN100059,2026-08-21 15:45:16,9328.36,15,4,36,3,2617.83,3.56,0,0,8.0,5,0,CREDIT_CARD,luxury,637,0,0.051,0.437,0.09,0
TXN100060,2026-09-02 06:30:50,1214.58,6,2,29,3,586.57,2.07,0,0,1.1,0,0,UPI,ecommerce,50,0,0.184,0.144,0.09,0
TXN100061,2026-08-20 08:45:34,1755.51,8,3,22,5,1328.93,1.32,1,0,9.8,0,1,UPI,ecommerce,1455,0,0.175,0.127,0.35,0
TXN100062,2026-08-20 12:47:36,1920.75,12,3,23,3,1416.32,1.36,0,0,6.1,0,0,UPI,ecommerce,138,0,0.169,0.162,0.09,0
TXN100063,2026-08-20 17:43:47,5239.27,17,3,32,2,2564.58,2.04,0,0,6.3,0,0,UPI,electronics,1714,0,0.238,0.123,0.06,0
TXN100064,2026-08-21 12:22:09,3616.24,12,4,24,2,1763.84,2.05,0,0,1.8,0,0,CREDIT_CARD,grocery,239,0,0.192,0.266,0.06,0
TXN100065,2026-08-19 07:12:34,3917.67,7,2,30,3,3273.7,1.2,0,0,0.8,0,0,UPI,grocery,305,0,0.06,0.049,0.09,0
TXN100066,2026-08-28 09:17:39,465.45,9,4,47,0,986.9,0.47,0,0,9.3,0,0,WALLET,grocery,294,0,0.066,0.532,0.0,0
TXN100067,2026-08-12 04:40:09,139.92,4,2,40,7,450.26,0.31,0,1,64.6,0,0,DEBIT_CARD,travel,140,0,0.241,0.213,0.21,0
TXN100068,2026-08-09 09:47:26,6034.8,9,6,45,5,2870.75,2.1,0,0,7.1,0,0,CREDIT_CARD,ecommerce,73,0,0.113,0.092,0.15,0
TXN100069,2026-08-28 23:16:33,291.88,23,4,53,4,566.86,0.51,0,0,10.5,5,0,UPI,grocery,243,0,0.018,0.045,0.12,0
TXN100070,2026-08-22 07:12:53,3267.63,7,5,60,5,4753.77,0.69,0,0,0.9,0,0,UPI,electronics,339,0,0.24,0.032,0.15,0
TXN100071,2026-08-17 18:04:38,2036.5,18,0,31,3,4319.95,0.47,0,0,0.3,0,1,NET_BANKING,ecommerce,255,0,0.247,0.327,0.29,0
TXN100072,2026-08-20 08:23:52,5925.42,8,3,35,1,3715.03,1.59,0,0,1.6,0,0,UPI,ecommerce,173,0,0.236,0.078,0.03,0
TXN100073,2026-08-06 11:08:51,1138.29,11,3,37,2,731.56,1.56,0,0,11.6,0,2,UPI,ecommerce,159,0,0.103,0.038,0.46,0
TXN100074,2026-08-08 21:05:41,617.81,21,5,35,2,1004.58,0.61,1,0,6.3,0,1,DEBIT_CARD,travel,50,0,0.049,0.251,0.26,0
TXN100075,2026-08-29 15:33:23,667.61,15,5,60,4,1078.39,0.62,0,0,9.1,0,0,WALLET,grocery,185,0,0.212,0.066,0.12,0
TXN100076,2026-08-28 17:23:11,6532.19,17,4,18,5,2122.86,3.08,0,0,11.0,0,0,WALLET,ecommerce,473,0,0.302,0.349,0.15,0
TXN100077,2026-08-20 14:41:41,2175.53,14,3,38,1,2235.11,0.97,0,0,2.0,1,0,CREDIT_CARD,travel,1025,0,0.064,0.403,0.03,0
TXN100078,2026-08-19 05:37:00,165.4,5,2,34,3,301.26,0.55,0,0,1.2,0,0,CREDIT_CARD,electronics,529,0,0.109,0.128,0.09,0
TXN100079,2026-08-31 03:04:36,1918.23,3,0,22,0,1203.08,1.59,0,0,6.2,0,0,UPI,gaming,78,0,0.187,0.246,0.0,0
TXN100080,2026-08-18 20:49:33,1911.14,20,1,49,4,1642.04,1.16,0,0,0.5,0,2,NET_BANKING,grocery,238,0,0.12,0.095,0.52,0
TXN100081,2026-08-12 17:06:34,334.98,17,2,28,5,400.15,0.84,0,0,3.6,0,0,UPI,ecommerce,4,0,0.214,0.086,0.15,0
TXN100082,2026-08-08 06:31:23,3385.63,6,5,39,6,3021.61,1.12,0,0,3.8,0,1,DEBIT_CARD,ecommerce,531,0,0.34,0.332,0.38,0
TXN100083,2026-08-13 02:06:28,238.94,2,3,30,1,309.14,0.77,1,0,5.8,0,0,CREDIT_CARD,ecommerce,15,0,0.061,0.089,0.03,0
TXN100084,2026-08-23 23:14:01,536.73,23,6,33,2,1964.19,0.27,1,0,8.4,5,0,UPI,utilities,37,0,0.019,0.107,0.06,0
TXN100085,2026-08-26 01:17:26,520.17,1,2,32,5,886.29,0.59,0,0,0.9,0,0,CREDIT_CARD,utilities,183,0,0.167,0.323,0.15,0
TXN100086,2026-08-14 07:22:30,1232.41,7,4,37,4,1165.63,1.06,0,0,4.1,0,0,UPI,grocery,200,0,0.21,0.023,0.12,0
TXN100087,2026-08-26 14:58:03,3047.86,14,2,24,2,5917.2,0.52,1,0,1.9,0,0,UPI,electronics,55,0,0.228,0.139,0.06,1
TXN100088,2026-08-20 14:52:25,1194.07,14,3,41,4,1275.24,0.94,0,0,1.9,0,1,WALLET,electronics,998,0,0.309,0.134,0.32,0
TXN100089,2026-08-10 01:55:49,9447.89,1,0,56,3,10775.61,0.88,0,0,2.3,0,0,CREDIT_CARD,ecommerce,431,0,0.379,0.193,0.09,0
TXN100090,2026-08-06 15:21:24,637.25,15,3,67,4,543.28,1.17,1,0,9.5,0,1,CREDIT_CARD,luxury,78,0,0.642,0.418,0.32,0
TXN100091,2026-08-22 18:35:12,2053.74,18,5,52,2,1730.36,1.19,0,0,6.9,2,0,DEBIT_CARD,utilities,603,0,0.109,0.485,0.06,0
TXN100092,2026-08-14 10:30:38,2093.57,10,4,49,3,1181.75,1.77,0,0,8.9,1,0,DEBIT_CARD,grocery,99,0,0.316,0.179,0.09,0
TXN100093,2026-09-02 21:16:52,2668.62,21,2,29,0,1852.24,1.44,0,0,6.0,0,0,UPI,electronics,23,0,0.122,0.307,0.0,0
TXN100094,2026-08-24 16:05:19,1351.67,16,0,36,0,2257.25,0.6,1,0,5.4,0,0,CREDIT_CARD,ecommerce,133,0,0.201,0.451,0.0,0
TXN100095,2026-08-09 11:18:08,1105.75,11,6,46,2,1095.59,1.01,0,0,0.8,1,0,UPI,electronics,298,0,0.083,0.305,0.06,0
TXN100096,2026-08-26 01:35:59,2221.46,1,2,18,1,1623.88,1.37,0,1,272.7,2,0,DEBIT_CARD,gaming,301,0,0.079,0.304,0.03,1
TXN100097,2026-08-28 11:35:40,2812.08,11,4,21,3,2348.18,1.2,0,0,5.7,1,0,CREDIT_CARD,grocery,162,0,0.027,0.105,0.09,0
TXN100098,2026-08-20 22:21:59,480.22,22,3,44,2,1199.22,0.4,0,0,5.0,0,0,CREDIT_CARD,luxury,5,0,0.036,0.096,0.06,1
TXN100099,2026-08-14 06:07:41,373.94,6,4,38,4,320.78,1.17,0,0,3.6,0,3,NET_BANKING,grocery,446,0,0.008,0.118,0.72,0
TXN100100,2026-08-07 04:35:38,884.66,4,4,42,2,1884.28,0.47,0,0,7.5,0,0,UPI,grocery,24,0,0.108,0.261,0.06,0
TXN100101,2026-08-24 09:12:34,558.2,9,0,37,4,499.63,1.12,0,0,0.9,0,1,UPI,electronics,179,0,0.096,0.022,0.32,0
TXN100102,2026-08-24 03:01:59,1744.78,3,0,41,3,1835.95,0.95,0,0,7.7,0,0,UPI,electronics,425,0,0.079,0.297,0.09,0
TXN100103,2026-08-19 21:11:12,920.39,21,2,39,6,1357.4,0.68,0,1,914.8,0,1,UPI,grocery,326,0,0.009,0.243,0.38,1
TXN100104,2026-08-10 17:06:20,1242.53,17,0,31,6,3130.83,0.4,0,0,9.1,0,0,UPI,gaming,902,0,0.503,0.231,0.18,0
TXN100105,2026-08-30 12:44:26,6463.93,12,6,44,1,4144.92,1.56,0,0,10.5,0,0,UPI,grocery,122,0,0.337,0.04,0.03,0
TXN100106,2026-08-14 13:03:22,5108.52,13,4,45,9,3607.89,1.42,0,0,10.8,0,5,CREDIT_CARD,grocery,119,0,0.148,0.42,1.0,0
TXN100107,2026-08-08 12:45:26,41651.81,12,5,59,3,21762.31,1.91,0,1,228.5,0,1,UPI,electronics,139,1,0.233,0.6,0.29,0
TXN100108,2026-08-27 11:44:44,2263.45,11,3,35,3,1722.91,1.31,0,0,9.8,0,3,CREDIT_CARD,grocery,146,0,0.284,0.158,0.69,0
TXN100109,2026-08-29 08:33:23,632.13,8,5,44,2,606.22,1.04,0,0,4.2,0,0,DEBIT_CARD,ecommerce,255,0,0.114,0.094,0.06,0
TXN100110,2026-08-18 00:08:46,1040.82,0,1,49,2,1428.8,0.73,0,0,11.8,0,0,UPI,grocery,418,0,0.024,0.273,0.06,0
TXN100111,2026-09-03 12:17:34,1981.14,12,3,27,0,2082.78,0.95,0,0,7.5,0,0,WALLET,ecommerce,24,0,0.339,0.324,0.0,0
TXN100112,2026-08-25 20:37:35,1606.03,20,1,39,4,1872.49,0.86,0,0,11.5,0,1,UPI,electronics,158,0,0.201,0.471,0.32,0
TXN100113,2026-08-24 14:04:53,990.23,14,0,45,1,829.98,1.19,0,0,3.0,0,0,CREDIT_CARD,grocery,29,0,0.122,0.37,0.03,0
TXN100114,2026-08-27 14:14:47,1075.17,14,3,38,5,1559.26,0.69,1,0,6.5,0,0,DEBIT_CARD,electronics,222,0,0.232,0.231,0.15,0
TXN100115,2026-08-07 03:23:33,1327.29,3,4,45,4,1784.28,0.74,0,0,1.9,0,0,UPI,ecommerce,34,0,0.181,0.31,0.12,0
TXN100116,2026-09-03 00:58:21,511.39,0,3,42,3,1936.65,0.26,1,0,1.2,0,0,DEBIT_CARD,utilities,119,0,0.601,0.333,0.09,0
TXN100117,2026-08-05 12:22:49,3184.82,12,2,47,1,3769.75,0.84,0,0,2.7,0,0,UPI,ecommerce,218,0,0.166,0.313,0.03,0
TXN100118,2026-08-20 11:01:37,4092.12,11,3,40,2,2350.2,1.74,0,0,7.3,0,0,UPI,utilities,160,0,0.001,0.217,0.06,0
TXN100119,2026-08-13 01:18:07,1946.41,1,3,50,3,2009.45,0.97,0,0,5.4,0,1,UPI,grocery,517,0,0.278,0.008,0.29,0
TXN100120,2026-08-18 11:02:45,584.4,11,1,38,4,402.93,1.45,0,0,4.5,0,0,UPI,gaming,1762,0,0.128,0.337,0.12,0
TXN100121,2026-08-09 15:58:46,4699.08,15,6,48,4,6129.99,0.77,1,0,10.9,0,0,CREDIT_CARD,grocery,407,0,0.173,0.082,0.12,0
TXN100122,2026-08-26 08:10:42,5049.18,8,2,46,4,2720.67,1.86,0,0,8.3,0,2,UPI,grocery,145,0,0.023,0.216,0.52,0
TXN100123,2026-08-16 12:09:21,2114.72,12,6,30,6,1714.52,1.23,0,0,3.9,1,1,CREDIT_CARD,ecommerce,91,0,0.426,0.19,0.38,0
TXN100124,2026-08-28 23:14:14,4383.79,23,4,18,6,3018.23,1.45,0,0,10.0,0,0,DEBIT_CARD,electronics,319,0,0.332,0.198,0.18,0
TXN100125,2026-08-25 16:47:31,5920.4,16,1,23,2,5915.5,1.0,0,0,7.8,0,0,DEBIT_CARD,travel,853,0,0.036,0.474,0.06,0
TXN100126,2026-08-22 15:13:23,3229.4,15,5,72,1,2040.37,1.58,0,0,0.6,0,0,NET_BANKING,utilities,98,0,0.257,0.05,0.03,0
TXN100127,2026-09-01 09:02:57,1408.05,9,1,39,1,1919.5,0.73,1,0,10.2,2,0,UPI,ecommerce,188,0,0.279,0.17,0.03,0
TXN100128,2026-08-16 02:46:34,1628.99,2,6,26,3,1334.72,1.22,0,0,1.9,0,0,CREDIT_CARD,travel,337,0,0.026,0.018,0.09,0
TXN100129,2026-08-19 05:00:59,8974.73,5,2,42,2,6720.57,1.34,0,0,10.1,4,1,CREDIT_CARD,grocery,331,0,0.255,0.373,0.26,0
TXN100130,2026-08-11 08:22:04,1049.95,8,1,18,2,2229.56,0.47,0,0,7.7,0,0,CREDIT_CARD,ecommerce,908,0,0.123,0.051,0.06,0
TXN100131,2026-08-08 01:35:54,2885.02,1,5,50,0,2111.78,1.37,0,0,10.5,0,0,NET_BANKING,grocery,477,0,0.069,0.036,0.0,0
TXN100132,2026-08-11 16:22:31,2917.05,16,1,35,5,1710.15,1.71,0,0,1.9,0,0,UPI,ecommerce,82,0,0.251,0.115,0.15,0
TXN100133,2026-08-18 22:15:13,1291.1,22,1,33,2,2206.9,0.59,0,0,4.6,0,0,UPI,grocery,82,0,0.118,0.12,0.06,0
TXN100134,2026-08-06 08:37:14,3357.01,8,3,37,3,2212.31,1.52,0,0,10.2,2,1,WALLET,ecommerce,812,0,0.053,0.062,0.29,0
TXN100135,2026-08-11 00:40:25,900.29,0,1,20,7,752.71,1.2,1,0,6.0,0,0,UPI,ecommerce,140,0,0.044,0.111,0.21,0
TXN100136,2026-08-10 23:52:52,494.56,23,0,25,1,400.28,1.24,0,0,5.9,0,0,UPI,travel,534,0,0.076,0.212,0.03,0
TXN100137,2026-08-15 06:14:17,3558.85,6,5,45,6,2626.41,1.36,0,0,5.6,0,5,CREDIT_CARD,grocery,4,0,0.121,0.258,1.0,1
TXN100138,2026-08-07 00:56:12,465.55,0,4,41,4,535.7,0.87,0,0,6.9,0,1,DEBIT_CARD,electronics,354,0,0.22,0.176,0.32,0
TXN100139,2026-08-19 05:30:54,1745.52,5,2,40,4,1557.06,1.12,0,0,5.7,0,0,UPI,ecommerce,38,0,0.282,0.138,0.12,0
TXN100140,2026-08-16 15:50:08,896.87,15,6,31,1,1435.35,0.62,0,0,7.9,0,0,DEBIT_CARD,ecommerce,89,0,0.027,0.16,0.03,0
TXN100141,2026-08-21 09:28:39,6472.33,9,4,27,4,7742.26,0.84,0,0,10.1,0,0,UPI,gaming,395,0,0.129,0.056,0.12,0
TXN100142,2026-08-06 05:30:00,9686.95,5,3,30,2,5043.68,1.92,0,1,51.0,0,0,UPI,ecommerce,278,0,0.207,0.203,0.06,0
TXN100143,2026-08-30 12:06:28,950.73,12,6,41,0,1357.74,0.7,0,0,4.7,0,0,DEBIT_CARD,electronics,783,0,0.139,0.234,0.0,0
TXN100144,2026-08-21 22:51:04,4051.26,22,4,47,3,4760.91,0.85,0,0,2.7,0,2,UPI,utilities,16,0,0.339,0.018,0.49,0
TXN100145,2026-08-22 14:46:58,2430.86,14,5,43,2,3201.76,0.76,0,0,8.2,0,0,CREDIT_CARD,ecommerce,51,0,0.136,0.06,0.06,0
TXN100146,2026-08-17 08:46:49,2152.07,8,0,42,6,968.59,2.22,0,0,1.0,5,0,CREDIT_CARD,gaming,51,0,0.023,0.26,0.18,1
TXN100147,2026-08-30 00:10:47,1738.61,0,6,43,2,1012.93,1.72,0,0,7.1,0,0,DEBIT_CARD,ecommerce,88,0,0.152,0.247,0.06,0
TXN100148,2026-08-27 11:32:05,3294.69,11,3,24,0,3372.73,0.98,0,0,0.2,0,0,CREDIT_CARD,electronics,126,0,0.149,0.252,0.0,0
TXN100149,2026-08-23 11:36:09,1945.32,11,6,43,5,1492.78,1.3,0,0,8.4,1,1,UPI,ecommerce,157,0,0.095,0.141,0.35,0
TXN100150,2026-08-08 06:55:39,3206.87,6,5,59,0,2175.81,1.47,0,0,8.7,0,0,DEBIT_CARD,electronics,535,0,0.193,0.114,0.0,0
TXN100151,2026-08-23 16:05:00,770.68,16,6,19,5,1123.18,0.69,0,1,120.7,0,1,UPI,grocery,30,0,0.119,0.046,0.35,0
TXN100152,2026-08-20 10:54:59,919.83,10,3,48,2,702.4,1.31,0,0,5.3,0,1,WALLET,ecommerce,394,0,0.178,0.269,0.26,0
TXN100153,2026-08-30 01:23:40,682.63,1,6,35,3,1128.43,0.6,0,1,313.9,0,0,DEBIT_CARD,travel,351,0,0.089,0.379,0.09,0
TXN100154,2026-08-12 23:34:44,2667.63,23,2,55,4,2546.95,1.05,0,0,4.1,0,0,UPI,utilities,39,0,0.531,0.164,0.12,0
TXN100155,2026-08-23 12:14:48,5036.25,12,6,18,5,5956.89,0.85,0,0,2.5,0,0,UPI,travel,124,0,0.091,0.157,0.15,0
TXN100156,2026-08-23 01:18:54,1058.44,1,6,38,5,1742.91,0.61,0,0,9.4,0,2,DEBIT_CARD,ecommerce,529,0,0.161,0.198,0.55,0
TXN100157,2026-08-24 18:35:40,1410.33,18,0,46,5,2008.85,0.7,1,0,2.6,0,0,DEBIT_CARD,gaming,144,0,0.584,0.157,0.15,0
TXN100158,2026-08-25 10:50:30,602.35,10,1,42,3,683.3,0.88,0,0,4.6,0,0,UPI,travel,26,0,0.242,0.242,0.09,0
TXN100159,2026-08-11 00:20:43,2218.06,0,1,61,4,2913.52,0.76,0,0,1.5,0,0,UPI,travel,14,0,0.096,0.412,0.12,0
TXN100160,2026-08-08 09:48:40,9164.69,9,5,35,5,6149.69,1.49,0,0,2.8,0,0,UPI,electronics,943,0,0.174,0.219,0.15,0
TXN100161,2026-08-27 09:10:21,547.7,9,3,56,3,446.7,1.23,0,0,1.7,0,0,CREDIT_CARD,electronics,537,0,0.254,0.115,0.09,0
TXN100162,2026-08-10 07:11:44,25168.3,7,0,23,4,9668.95,2.6,0,0,0.3,0,1,DEBIT_CARD,grocery,192,0,0.056,0.102,0.32,0
TXN100163,2026-08-14 00:35:47,1168.8,0,4,43,2,1995.13,0.59,0,0,4.9,0,1,NET_BANKING,gaming,58,0,0.181,0.507,0.26,0
TXN100164,2026-08-12 20:40:58,21996.1,20,2,39,2,9895.32,2.22,0,0,1.0,0,0,UPI,grocery,110,0,0.268,0.112,0.06,0
TXN100165,2026-09-02 09:47:56,1653.34,9,2,43,4,1351.36,1.22,0,0,1.7,1,0,UPI,ecommerce,16,1,0.152,0.312,0.12,0
TXN100166,2026-08-22 16:59:22,382.06,16,5,32,1,371.45,1.03,0,0,8.9,0,0,DEBIT_CARD,utilities,70,0,0.21,0.132,0.03,0
TXN100167,2026-08-08 17:26:08,591.32,17,5,26,4,741.57,0.8,1,0,9.2,0,0,CREDIT_CARD,ecommerce,497,0,0.284,0.167,0.12,0
